Donor,ISO3,Recipient,Economic Development,WHO Region,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,"Disbursements, Million, 2010 constant US$ (2010-2011)"
Czech Republic,IRQ,Iraq,LMICs,Emr, 0.01 , -   , -   , -   , 0.01 
Czech Republic,KEN,Kenya,Other LICs,Afr, 0.01 , -   , -   , -   , 0.01 
Czech Republic,MAR,Morocco,LMICs,Emr, 0.01 , -   , -   , -   , 0.01 
Denmark,TZA,United Republic of Tanzania,LDCs,Afr, 3.02 , 18.11 , 43.80 , -   , 64.93 
Denmark,Global and Regional,Global and Regional,Global and Regional,Global and Regional, 13.41 , 10.38 , 8.24 , 28.44 , 60.47 
Denmark,GHA,Ghana,LMICs,Afr, 38.99 , 4.82 , 0.61 , -   , 44.42 
Denmark,KEN,Kenya,Other LICs,Afr, 13.43 , 1.71 , 17.11 , -   , 32.25 
Denmark,MOZ,Mozambique,LDCs,Afr, 19.02 , 9.35 , 0.26 , -   , 28.63 
Denmark,UGA,Uganda,LDCs,Afr, 3.10 , 3.75 , 9.26 , 0.82 , 16.92 
Denmark,MMR,Myanmar,LDCs,Sear, 0.36 , 4.08 , 1.26 , 0.35 , 6.05 
Denmark,BFA,Burkina Faso,LDCs,Afr, 0.08 , 5.40 , -   , -   , 5.48 
Denmark,ZMB,Zambia,LDCs,Afr, -   , 4.42 , 0.12 , -   , 4.53 
Denmark,ETH,Ethiopia,LDCs,Afr, -   , 3.69 , 0.55 , -   , 4.23 
Denmark,MWI,Malawi,LDCs,Afr, -   , 1.80 , 1.89 , -   , 3.69 
Denmark,SYR,Syrian Arab Republic,LMICs,Emr, -   , -   , 2.85 , -   , 2.85 
Denmark,KHM,Cambodia,LDCs,Wpr, 0.17 , 0.34 , 1.77 , 0.34 , 2.62 
Denmark,ZAF,South Africa,UMICs,Afr, -   , 2.33 , 0.07 , -   , 2.40 
Denmark,AFG,Afghanistan,LDCs,Emr, -   , -   , 2.33 , -   , 2.33 
Denmark,BDI,Burundi,LDCs,Afr, -   , 2.23 , -   , -   , 2.23 
Denmark,ZWE,Zimbabwe,Other LICs,Afr, -   , 1.67 , -   , 0.44 , 2.11 
Denmark,LBR,Liberia,LDCs,Afr, -   , 1.06 , 0.92 , -   , 1.99 
