Donor,Recipient,Ordinal,HEALTH POLICY & ADMIN. MANAGEMENT,MDG6,Other Health Purposes,RH & FP,Grand Total,Percentage
IDB Sp.Fund,Nicaragua,2,46.41,0.00,0.48,0.05,46.94,51.8%
IDB Sp.Fund,Haiti,3,13.77,0.00,3.83,0.00,17.60,19.4%
IDB Sp.Fund,Honduras,4,0.00,0.00,13.81,0.00,13.81,15.2%
IDB Sp.Fund,Guyana,5,4.05,0.00,1.10,0.00,5.14,5.7%
IDB Sp.Fund,Chile,6,0.62,0.00,0.00,0.00,0.62,0.7%
IDB Sp.Fund,Guatemala,7,0.00,0.00,0.53,0.00,0.53,0.6%
IDB Sp.Fund,Uruguay,8,0.36,0.00,0.00,0.00,0.36,0.4%
IDB Sp.Fund,All others,9,0.27,0.00,0.31,0.00,0.58,0.6%
IFAD,Lao People's Democratic Republic,1,0.00,0.00,0.00,0.00,0.00,0.0%
IFAD,Sudan,2,0.00,0.00,0.00,0.00,0.00,0.0%
IFAD,Tajikistan,3,0.00,0.00,0.00,0.00,0.00,0.0%
Ireland,Global and Regional,1,4.56,15.30,7.69,1.33,28.89,15.1%
Ireland,Mozambique,2,37.90,4.44,1.68,0.02,44.04,23.1%
Ireland,United Republic of Tanzania,3,21.38,1.05,1.97,0.00,24.40,12.8%
Ireland,Uganda,4,0.74,20.23,1.39,0.00,22.36,11.7%
Ireland,Ethiopia,5,5.75,5.14,3.86,0.08,14.82,7.8%
Ireland,Sudan,6,0.32,0.27,7.75,0.34,8.67,4.5%
Ireland,Liberia,7,0.00,0.18,7.98,0.00,8.16,4.3%
Ireland,Malawi,8,0.00,2.28,3.99,0.00,6.27,3.3%
Ireland,All others,9,0.26,8.01,24.86,0.32,33.45,17.5%
Isl.Dev Bank,Global and Regional,1,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Afghanistan,2,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Benin,3,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Burkina Faso,4,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Cameroon,5,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Chad,6,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Comoros,7,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,Djibouti,8,0.00,0.00,0.00,0.00,0.00,0.0%
Isl.Dev Bank,All others,9,0.00,0.00,0.00,0.00,0.00,0.0%
Italy,Global and Regional,1,0.70,1.16,2.19,0.12,4.17,2.2%
Italy,Ethiopia,2,5.23,0.57,8.15,0.00,13.95,7.4%
Italy,Uganda,3,0.93,0.47,11.77,0.00,13.17,7.0%
Italy,Sudan,4,2.24,0.00,5.86,3.96,12.06,6.4%
Italy,Mozambique,5,4.06,1.44,6.21,0.00,11.71,6.2%
Italy,India,6,0.00,2.22,7.25,0.00,9.47,5.0%
Italy,Afghanistan,7,3.74,0.00,5.03,0.00,8.77,4.6%
Italy,Kenya,8,3.29,2.12,2.18,0.46,8.05,4.2%
Italy,All others,9,18.17,17.48,68.60,3.83,108.07,57.1%
Japan,Global and Regional,1,20.56,4.16,2.98,11.91,39.61,5.0%
Japan,Afghanistan,2,4.53,17.15,51.24,1.21,74.14,9.3%
Japan,Pakistan,3,2.95,32.21,0.87,0.52,36.55,4.6%
Japan,China,4,27.44,4.06,4.19,0.09,35.79,4.5%
Japan,Viet Nam,5,5.53,3.97,24.35,0.72,34.57,4.3%
Japan,Philippines,6,2.75,4.34,24.79,2.21,34.09,4.3%
Japan,Sudan,7,3.00,10.57,13.18,3.91,30.66,3.9%
Japan,Kenya,8,5.61,6.63,16.10,0.79,29.13,3.7%
Japan,All others,9,117.93,98.54,211.53,52.70,480.70,60.4%
Kuwait (KFAED),Global and Regional,1,0.00,0.11,0.00,0.00,0.11,0.2%
Kuwait (KFAED),Jordan,2,0.00,0.00,31.95,0.00,31.95,53.0%
Kuwait (KFAED),Uzbekistan,3,0.00,0.00,20.58,0.00,20.58,34.2%
Kuwait (KFAED),China,4,0.00,0.00,5.06,0.00,5.06,8.4%
Kuwait (KFAED),Morocco,5,0.00,0.00,1.16,0.00,1.16,1.9%
Kuwait (KFAED),Yemen,6,0.00,0.65,0.00,0.00,0.65,1.1%
Kuwait (KFAED),Ghana,7,0.00,0.00,0.28,0.03,0.31,0.5%
Kuwait (KFAED),Republic of Moldova,8,0.00,0.00,0.24,0.00,0.24,0.4%
Kuwait (KFAED),All others,9,0.00,0.00,0.17,0.00,0.17,0.3%
Luxembourg,Global and Regional,1,6.55,11.00,3.06,5.86,26.48,27.7%
Luxembourg,Lao People's Democratic Republic,2,4.15,0.00,8.98,0.00,13.13,13.8%
Luxembourg,Rwanda,3,4.12,0.58,0.70,0.00,5.40,5.7%
Luxembourg,Senegal,4,0.25,0.00,4.72,0.28,5.25,5.5%
Luxembourg,Mali,5,0.12,0.08,4.52,0.42,5.14,5.4%
Luxembourg,West Bank and Gaza Strip,6,0.00,0.00,4.79,0.00,4.79,5.0%
Luxembourg,Kosovo (SCR 1244 (1999)),7,2.30,0.00,2.18,0.00,4.48,4.7%
Luxembourg,Nicaragua,8,0.58,0.00,3.79,0.00,4.38,4.6%
Luxembourg,All others,9,2.68,6.91,16.28,0.53,26.40,27.7%
Netherlands,Global and Regional,1,8.24,72.67,63.30,128.77,272.97,45.5%
Netherlands,United Republic of Tanzania,2,0.00,4.23,43.34,9.28,56.85,9.5%
Netherlands,Ghana,3,0.00,0.00,48.33,0.47,48.80,8.1%
